FECHA_AMB;Valor_AMB
01/08/2019 5:00;21.6
01/08/2019 6:00;23.7
01/08/2019 7:00;24.1
01/08/2019 8:00;22.2
01/08/2019 9:00;17.3
01/08/2019 10:00;15.6
01/08/2019 11:00;14.7
01/08/2019 12:00;18.8
01/08/2019 13:00;13.6
01/08/2019 14:00;14.3
01/08/2019 15:00;9.7
01/08/2019 16:00;10.9
01/08/2019 17:00;14.1
01/08/2019 18:00;12.7
01/08/2019 19:00;13.1
01/08/2019 20:00;13.6
01/08/2019 21:00;14.8
01/08/2019 22:00;15.1
01/08/2019 23:00;16
02/08/2019 0:00;15.6
02/08/2019 1:00;14
02/08/2019 2:00;19.1
02/08/2019 3:00;13.9
02/08/2019 4:00;12.7
02/08/2019 5:00;13.4
02/08/2019 6:00;18.4
02/08/2019 7:00;18.7
02/08/2019 8:00;18.7
02/08/2019 9:00;16.3
02/08/2019 10:00;14
02/08/2019 11:00;15
02/08/2019 12:00;16.5
02/08/2019 13:00;15.1
02/08/2019 14:00;11
02/08/2019 15:00;6.7
02/08/2019 16:00;11.1
02/08/2019 17:00;13.6
02/08/2019 18:00;14.5
02/08/2019 19:00;13.2
02/08/2019 20:00;13.6
02/08/2019 21:00;12.1
02/08/2019 22:00;17
02/08/2019 23:00;12.5
03/08/2019 0:00;9.6
03/08/2019 1:00;10.1
03/08/2019 2:00;10.4
03/08/2019 3:00;10.4
03/08/2019 4:00;10
03/08/2019 5:00;12.1
03/08/2019 6:00;11
03/08/2019 7:00;12.2
03/08/2019 8:00;18.5
03/08/2019 9:00;17.8
03/08/2019 10:00;18.4
03/08/2019 11:00;15
03/08/2019 12:00;12.6
03/08/2019 13:00;13.8
03/08/2019 14:00;11.1
03/08/2019 15:00;11.5
03/08/2019 16:00;7.9
03/08/2019 17:00;8.3
03/08/2019 18:00;11.2
03/08/2019 19:00;12
03/08/2019 20:00;13.2
03/08/2019 21:00;15.2
03/08/2019 22:00;13.6
03/08/2019 23:00;15
04/08/2019 0:00;12.9
04/08/2019 1:00;9.8
04/08/2019 2:00;9.5
04/08/2019 3:00;8.6
04/08/2019 4:00;9.9
04/08/2019 5:00;13.3
04/08/2019 6:00;8.6
04/08/2019 7:00;8.8
04/08/2019 8:00;7.6
04/08/2019 9:00;11.3
04/08/2019 10:00;10.5
04/08/2019 11:00;8.4
04/08/2019 12:00;8.3
04/08/2019 13:00;7.3
04/08/2019 14:00;7.2
04/08/2019 15:00;6.2
04/08/2019 16:00;6.4
04/08/2019 17:00;8.4
04/08/2019 18:00;11.1
04/08/2019 19:00;11.4
04/08/2019 20:00;11.7
04/08/2019 21:00;9.5
04/08/2019 22:00;6.3
04/08/2019 23:00;7.2
05/08/2019 0:00;6.4
05/08/2019 1:00;5.8
05/08/2019 2:00;6.5
05/08/2019 3:00;5.8
05/08/2019 4:00;6
05/08/2019 5:00;7
05/08/2019 6:00;10
05/08/2019 7:00;8.7
05/08/2019 8:00;11.5
05/08/2019 9:00;12.6
05/08/2019 10:00;11.1
05/08/2019 11:00;8.6
05/08/2019 12:00;8
05/08/2019 13:00;7.5
05/08/2019 14:00;9.3
05/08/2019 15:00;8.6
05/08/2019 16:00;8.7
05/08/2019 17:00;12.1
05/08/2019 18:00;16.3
05/08/2019 19:00;13.8
05/08/2019 20:00;16.3
05/08/2019 21:00;14.2
05/08/2019 22:00;13.2
05/08/2019 23:00;10.6
06/08/2019 0:00;9.9
06/08/2019 1:00;8.5
06/08/2019 2:00;8.1
06/08/2019 3:00;10.4
06/08/2019 4:00;10.1
06/08/2019 5:00;14.4
06/08/2019 6:00;15.7
06/08/2019 7:00;18
06/08/2019 8:00;19.7
06/08/2019 9:00;14.9
06/08/2019 10:00;12.8
06/08/2019 11:00;15.8
06/08/2019 12:00;15.5
06/08/2019 13:00;15.6
06/08/2019 14:00;16.4
06/08/2019 15:00;16.1
06/08/2019 16:00;16.9
